"DHSCLUST","LONGNUM","LATNUM","ALT","EVI","LSTD","LSTN","NLIGHT","POPDEN","RDIST","RFALL","WDIST","URBAN_RURA","GRUMP","LCType"
195,6.852819,5.04145,-1.25209482714348,1.38684607165669,-0.61179035660115,-0.917307579176596,-0.877833920491156,-0.341682549010442,-0.117436725049658,1.51136250902212,0.995198748438553,"R",1,"crop"
196,7.034851,4.897561,-1.40408228664663,-0.627291619811801,0.470439846452053,-0.405404523698279,-0.877833920491156,-0.193226830027691,-1.31646242007542,1.7837399298818,0.465886758416793,"R",1,"crop"
197,7.173183,4.669144,-2.07165236500979,-0.780996360651355,-0.0976716154949712,0.465575246403208,-0.877833920491156,-0.105158097806548,1.14862540583211,2.61178046350387,-2.00248534911076,"R",1,"crop"
198,6.863353,4.745698,-2.54327626450579,-1.10219451651917,-0.942572717570595,0.572441292748652,-0.877833920491156,0.234854893594181,0.501821928633655,1.85658677585084,-0.532943107407291,"R",1,"crop"
199,7.265522,4.667134,-1.68207377969688,0.87505478334602,-0.223835855450092,0.101707304178166,-0.877833920491156,0.0941736026942704,0.706006716848167,2.71938819908178,0.388097927970426,"R",2,"crop"
200,7.025899,4.761146,-1.92340598023709,-2.24951250956759,-0.628606109348594,-0.127111845361989,-0.877833920491156,1.24082750771049,0.576808759844688,2.09340062058771,-0.221022155843693,"R",1,"crop"
201,5.013745,7.611381,0.823303496961423,2.43701907587766,-0.822337638922563,-2.39804042893286,-0.444535817783815,-0.217853825080828,0.734100402694935,-0.633304492267501,1.01965958054807,"R",1,"crop"
202,5.39401,7.683476,0.692374118204081,1.70083701100552,-1.02807238701892,-0.891724371330055,-0.860222145346222,-0.28024355350523,0.23320550030975,-0.625621222470873,0.656357268838452,"U",1,"crop"
203,5.230588,7.633059,0.805178678286781,0.679368468178485,NA,-0.907010571291587,1.36792898292199,0.149953288753188,-0.402328107251302,-0.62203088415591,1.2147110153179,"R",1,"crop"
204,5.136131,7.671106,0.978585935581367,1.84959712903571,-0.471292256895203,-1.43421599614704,0.406368932941618,-0.262982715978228,0.305480929608593,-0.63767012981288,1.1870783781236,"R",1,"grass"
205,3.604084,6.60483,-1.25802469108157,0.435541923147398,-1.30651629338622,-0.35121461945942,1.21914861045392,-0.24680738365183,1.00818386710794,-0.846255273717575,0.129607549204239,"R",2,"crop"
206,3.3369,6.449656,-2.54816703428166,-2.65876239541745,1.4131378106647,0.558212645879499,1.90112728307532,8.25737716974372,0.174127956897379,-1.04498817966978,-0.064608567414934,"R",1,"crop"
207,3.252447,6.651542,-0.940012506758081,-1.46331493595353,NA,-0.388933398480364,1.82374269298475,0.734093348790468,0.427873282044587,-1.14676610037091,-0.434244406647334,"R",1,"crop"
208,3.276451,6.437308,-2.82290260773579,-1.33843313562049,0.382918239452477,0.370885574066016,1.51182795462256,0.181058045417032,0.666435184521482,-1.10103463717104,-0.316260008478722,"U",1,"crop"
