"DHSCLUST","LONGNUM","LATNUM","arabiensis_crop","EVI_Sept_2011_crop","GHA_alt_crop","GHA_popden14_crop","GHA_Roaddist_crop","GHA_waterdist_crop","LC_2011_crop","LST_Day_crop","LST_Night_crop","Nightlights_crop","Rainfall_Sept11_crop","URBAN_RURA","LCType","GRUMP"
168,-1.818227,4.901685,0.51609707834495,-0.197308110448372,-1.75106085248143,0.624191689403667,-0.00193463793596153,-0.561179712605921,0,-1.04287639706309,-1.134994986368,1.03887989376541,-1.00659165474168,"U","crop",2
169,-1.099969,10.970377,0.700852482807598,1.04660893677607,0.655932441759285,0.371257377696983,0.0401420322144502,0.35431859908083,0,0.941827260132653,2.28528904805978,0.13981606963235,0.910640910874339,"U","crop",1
170,-0.301361,11.103745,0.723817034328782,0.753593136531992,0.541785025775079,-0.817265612541166,0.939932589407152,-0.284748126117318,0,1.09686644761958,1.93190717287545,-0.898011570357699,0.357968460456429,"U","crop",1
171,-3.198924,6.512807,-0.263838951637671,-0.150012461617695,0.444878015412396,-0.0671784483470637,0.553466394018594,-0.0219357190379103,0,-1.1855988291083,-0.115333260205565,-0.843251503205421,-0.345790445836143,"R","crop",1
172,-0.448016,6.034106,0.453342287253036,0.230852636519681,0.48680007625846,0.121632710208662,-1.76827866248316,0.889459706199091,0,0.474867370180183,0.391133471174981,0.760403897082121,-0.129870917983135,"R","crop",2
173,1.122108,6.07586,0.378641650033875,-1.33358466437522,-2.88427980138098,0.174310119713107,-1.41577885555563,-0.454958621815978,1,0.000170010823490032,-0.107822489326011,-0.436706430441521,NA,"U","crop",1
174,-0.343899,5.821611,0.259107893233819,0.0374726518960139,-0.542544212326806,1.2848113466509,0.194024630156111,-0.315857830715514,0,1.74514348577343,0.808920708961677,0.724946657709339,-0.75635949298776,"R","crop",2
175,-2.807766,7.192601,-0.233278994864276,1.4978286150736,0.797351581698712,-0.472627481970578,0.659385714872576,0.827735374390139,0,-0.724234599746124,-0.948729002810149,-0.715345288923114,0.301025980997486,"U","crop",1
176,0.466223,6.610099,0.295029044053138,-0.148978394136513,0.415752526115824,-0.124192658191854,-0.821227258070431,0.225305502765875,1,-0.392649018167247,0.0729407866724533,1.81266594743435,-0.223291613718941,"R","urban",2
177,0.005823,8.554702,0.560260565200629,0.710583184591694,0.490354007117078,-0.969150301137438,0.275194110452088,0.135088490913032,0,-0.329060872153805,-0.561138240052344,-0.686612057923779,1.72079269486135,"U","grass",1
